iter	Passed	Remaining
0	0	64
1	1	59
2	1	55
3	2	53
4	2	51
5	3	50
6	3	51
7	4	49
8	4	48
9	5	47
10	5	46
11	6	44
12	6	44
13	7	43
14	7	42
15	7	41
16	8	40
17	8	40
18	9	39
19	9	38
20	10	39
21	11	39
22	11	39
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	35
32	17	35
33	17	34
34	18	34
35	19	34
36	20	34
37	21	34
38	21	34
39	22	33
40	23	33
41	23	32
42	24	32
43	25	31
44	25	31
45	26	31
46	27	30
47	28	30
48	28	30
49	29	29
50	30	28
51	30	28
52	31	27
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	48	12
79	48	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	5
92	58	4
93	59	3
94	59	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
